From,To,Line,Load
Holland Park,Notting Hill Gate,Central,1.2971334062746406e-06
Holland Park,Shepherd's Bush LU,Central,1.4479663391082683e-06
Holloway Road,Arsenal,Piccadilly,1.7711189563369641e-06
Holloway Road,Caledonian Road,Piccadilly,1.437374017231161e-06
Hornchurch,Elm Park,District,1.4390372984138862e-05
Hornchurch,Upminster Bridge,District,2.090834755599688e-05
Hounslow Central,Hounslow East,Piccadilly,2.9215303221366654e-06
Hounslow Central,Hounslow West,Piccadilly,3.698428400184616e-06
Hounslow East,Hounslow Central,Piccadilly,3.192077491683434e-06
Hounslow East,Osterley,Piccadilly,2.528916652486305e-06
Hounslow West,Hatton Cross,Piccadilly,4.280074511134239e-06
Hounslow West,Hounslow Central,Piccadilly,3.358122461310346e-06
Hyde Park Corner,Green Park,Piccadilly,8.576906177554771e-07
Hyde Park Corner,Knightsbridge,Piccadilly,8.466604086113315e-07
Ickenham,Hillingdon,Metropolitan,9.22583506821099e-06
Ickenham,Hillingdon,Piccadilly,3.6385422813883614e-05
Ickenham,Ruislip,Metropolitan,8.138675195588278e-06
Ickenham,Ruislip,Piccadilly,3.58245114918713e-05
Kennington (Bank),Elephant & Castle LU,Northern,1.2240483185772826e-06
Kennington (Bank),Oval,Northern,1.2031043314927003e-06
Kennington (Charing Cross),Nine Elms,Northern,3.7574457626959604e-06
Kennington (Charing Cross),Oval,Northern,1.059412576283585e-05
Kennington (Charing Cross),Waterloo LU,Northern,1.7136201383937907e-06
Kensal Green,Queen's Park,Bakerloo,7.255899746630413e-06
Kensal Green,Willesden Junction,Bakerloo,9.110770150567456e-06
Kensington (Olympia),Earl's Court,District,0.00022949032869631076
Kentish Town,Camden Town (High Barnet),Northern,1.279868164775506e-06
Kentish Town,Tufnell Park,Northern,1.3852695606456149e-06
Kenton,Harrow & Wealdstone,Bakerloo,5.3763376272426005e-05
Kenton,South Kenton,Bakerloo,2.418830352014739e-05
Kew Gardens,Gunnersbury,District,5.958090087354755e-06
Kew Gardens,Richmond,District,8.017680263656802e-06
Kilburn,West Hampstead LU,Jubilee,1.8220773023892071e-06
Kilburn,Willesden Green,Jubilee,2.364393806915926e-06
Kilburn Park,Maida Vale,Bakerloo,3.4025161390172924e-06
Kilburn Park,Queen's Park,Bakerloo,4.627254697645795e-06
King's Cross St. Pancras,Angel,Northern,9.935079376746933e-07
King's Cross St. Pancras,Caledonian Road,Piccadilly,1.5175882670016602e-06
King's Cross St. Pancras,Euston LU,Northern,1.155589188334751e-06
King's Cross St. Pancras,Euston LU,Victoria,5.312797053516785e-07
King's Cross St. Pancras,Euston Square,H&C and Circle,1.6181194454615312e-06
