From,To,Line,Load,Inverse_Load
Ealing Common,Ealing Broadway,District,101965.2677200942,9.807261064082225e-06
Ealing Common,North Ealing,Piccadilly,204827.08708781903,4.882166778904847e-06
Earl's Court,Barons Court,Piccadilly,831299.2319049236,1.2029362732700935e-06
Earl's Court,High Street Kensington,District,272877.8467693412,3.6646433993789253e-06
Earl's Court,Kensington (Olympia),District,4564.990967152641,0.00021905848383830167
Earl's Court,West Brompton,District,753838.5316338448,1.326544025061485e-06
Earl's Court,West Kensington,District,484613.9656376937,2.0634981055160477e-06
East Acton,North Acton,Central,462442.9267673919,2.1624290093272384e-06
East Acton,White City,Central,527812.7438571498,1.8946113212276767e-06
East Finchley,Finchley Central,Northern,364455.32194273366,2.7438205447775808e-06
East Finchley,Highgate,Northern,431467.0974935382,2.317673829149803e-06
East Ham,Barking,District,411695.5375055656,2.428979449373996e-06
East Ham,Barking,H&C and Circle,69177.10039091928,1.4455650704481793e-05
East Ham,Upton Park,District,521524.5104556289,1.9174554214649506e-06
East Ham,Upton Park,H&C and Circle,127345.01808562432,7.852682539395608e-06
East Putney,Putney Bridge,District,445158.0212464655,2.24639330815594e-06
East Putney,Southfields,District,365311.07860208326,2.737393029049783e-06
Eastcote,Rayners Lane,Metropolitan,172766.36994252185,5.788163520091861e-06
Eastcote,Rayners Lane,Piccadilly,38758.70548381876,2.5800655298394487e-05
Eastcote,Ruislip Manor,Metropolitan,142368.88036615925,7.024006913786882e-06
Eastcote,Ruislip Manor,Piccadilly,34925.851036248496,2.863208684484538e-05
Edgware,Burnt Oak,Northern,88728.69620713254,1.1270310990094478e-05
Edgware Road (Bak),Marylebone LU,Bakerloo,559149.1672240169,1.7884315288613515e-06
Edgware Road (Bak),Paddington TfL,Bakerloo,608197.1197639677,1.6442037745724367e-06
Edgware Road (DIS),Baker Street,H&C and Circle,655778.0261664281,1.5249062336623836e-06
Edgware Road (DIS),Paddington TfL,District,62509.56655585294,1.5997551336506065e-05
Edgware Road (DIS),Paddington TfL,H&C and Circle,588630.5696059375,1.6988584209438127e-06
Elephant & Castle LU,Borough,Northern,860328.0983454046,1.1623472509188232e-06
Elephant & Castle LU,Kennington (Bank),Northern,785736.9918489947,1.2726904936049937e-06
Elephant & Castle LU,Lambeth North,Bakerloo,142956.04584501687,6.995157106430681e-06
Elm Park,Dagenham East,District,112997.27303604792,8.849771088555245e-06
Elm Park,Hornchurch,District,73402.14150981625,1.362358072163695e-05
Embankment,Charing Cross LU,Bakerloo,559894.5942303247,1.7860504643283418e-06
Embankment,Charing Cross LU,Northern,974010.7021824102,1.026682764120925e-06
Embankment,Temple,District,945739.1235087784,1.0573740423150824e-06
Embankment,Temple,H&C and Circle,210147.52140652807,4.758561953559809e-06
Embankment,Waterloo LU,Bakerloo,459094.5825626216,2.1782003926469717e-06
Embankment,Waterloo LU,Northern,905212.1291981604,1.1047134342817556e-06
Embankment,Westminster,District,941711.987682695,1.0618957951897123e-06
Embankment,Westminster,H&C and Circle,217505.46737506505,4.597585578277011e-06
Epping,Theydon Bois,Central,74161.65081456801,1.3484057987063634e-05
Euston LU,Camden Town (Edgware),Northern,540633.7631619597,1.8496810005934206e-06
Euston LU,Camden Town (High Barnet),Northern,366437.07106839865,2.7289815331302583e-06
Euston LU,Mornington Crescent,Northern,831476.1692118304,1.2026802896202258e-06
Euston LU,Warren Street,Northern,1030863.931236078,9.70060130827286e-07
Euston LU,Warren Street,Victoria,2047395.776046024,4.884253507307816e-07
Euston Square,Great Portland Street,H&C and Circle,594089.168289767,1.6832490026349883e-06
Euston Square,Great Portland Street,Metropolitan,497687.08269039006,2.0092946648207416e-06
Fairlop,Barkingside,Central,83595.60163349718,1.1962351851766505e-05
Fairlop,Hainault,Central,59963.25334588839,1.6676880325883267e-05
Farringdon,Barbican,H&C and Circle,575821.1052816769,1.7366504819423486e-06
Farringdon,Barbican,Metropolitan,394981.7544346473,2.531762515033989e-06
Finchley Central,East Finchley,Northern,335574.0236150838,2.9799684410228314e-06
Finchley Central,Mill Hill East,Northern,33338.23641805532,2.9995587872741226e-05
Finchley Central,West Finchley,Northern,221231.35696770973,4.5201548899144395e-06
Finchley Road,Baker Street,Metropolitan,574461.6806178935,1.7407601476993135e-06
Finchley Road,Swiss Cottage,Jubilee,844716.4738506128,1.183829167485668e-06
Finchley Road,Wembley Park,Metropolitan,726974.5038820044,1.3755640598948852e-06
Finchley Road,West Hampstead LU,Jubilee,580051.0917882699,1.7239860663257223e-06
Finsbury Park LU,Arsenal,Piccadilly,585671.6102780671,1.7074414782120253e-06
Finsbury Park LU,Highbury & Islington,Victoria,1566687.2677840546,6.382894790575624e-07
Finsbury Park LU,Manor House,Piccadilly,705567.2271421155,1.4172993891035415e-06
Finsbury Park LU,Seven Sisters,Victoria,1062138.3036999474,9.414969750328283e-07
Fulham Broadway,Parsons Green,District,604251.7956078133,1.6549392277669709e-06
Fulham Broadway,West Brompton,District,692852.0048419436,1.4433096722122126e-06
Gants Hill,Newbury Park,Central,169113.43173511297,5.913190866863417e-06
Gants Hill,Redbridge,Central,283790.63285893016,3.523724479296296e-06
Golders Green,Brent Cross,Northern,370678.1231318644,2.6977583450325763e-06
Golders Green,Hampstead,Northern,489054.7868622604,2.044760682981812e-06
Goldhawk Road,Hammersmith (H&C),H&C and Circle,174300.1193286866,5.737230725093476e-06
Goldhawk Road,Shepherd's Bush Market,H&C and Circle,207422.33530948192,4.821081579801724e-06
Goodge Street,Tottenham Court Road,Northern,1072020.0010861722,9.328184166217035e-07
Goodge Street,Warren Street,Northern,974887.282650491,1.0257596111842114e-06
Grange Hill,Chigwell,Central,10769.446495141136,9.285528280874706e-05
Grange Hill,Hainault,Central,7360.516435359514,0.00013586003221133442
Great Portland Street,Baker Street,H&C and Circle,586887.1941780368,1.7039049580908768e-06
Great Portland Street,Baker Street,Metropolitan,501668.85818524775,1.993346773840877e-06
Great Portland Street,Euston Square,H&C and Circle,620832.2362633046,1.6107411013623404e-06
Great Portland Street,Euston Square,Metropolitan,503968.8764965076,1.984249517453941e-06
Greenford,Northolt,Central,135434.4131787784,7.383647748965865e-06
Greenford,Perivale,Central,202713.5200177313,4.933070077972749e-06
Gunnersbury,Kew Gardens,District,169068.8401463351,5.914750459839107e-06
Gunnersbury,Turnham Green,District,212578.04660378327,4.704154619803543e-06
Hainault,Fairlop,Central,64161.85982434107,1.5585583128945247e-05
Hainault,Grange Hill,Central,6625.5908871052325,0.0001509299347090999
Hammersmith (DIS),Barons Court,District,528982.1609780106,1.8904229173837285e-06
